SEA
Parsifal
Sandy
Sandy
Sandy
Capella
Jan._
A
Doctor
Purser
Doctor
Capella
Jan._
Dutchman
Alps
Tired
Old
Captain
Morgan
London
Peckham
Macassar
Land
London
Main
Guianas
Brazils
Raleigh
Golden
City
Manoa
Burney
Buccaneers
America
Drake
Humboldt
Bates
Wallace
Doctor
Emerson
Day
Emerson
Brazils
Skipper
Amazon
Santa
Maria
Belem
Santarem
Obydos
Itacoatiara
King
Rivers
Madeira
Madeira
San
Antonio
Capella
Orellana
Swansea
Doctor
Para
Land
O
Skipper
America
Monjui
Capella
America
Atalaia
America
Ours
Kew
Gardens
Kew
Para
River
Full
Capella
Amazon
Clumps
Canoes
Dragon
Capella
Latin
Anglo-Saxon
Para
Tripoli
Barbary
Macassar
Marquesas
Rio
Madre
Dios
Englishmen
Skipper
Brazil
Para
Belem
Skipper
Para
Doctor
Skipper
Paraenses
Indian
Portugal
Para
Portuguese
Para
England
Para
Para
Electric
American
Para
Bates
Bates
Nazareth
Latins
Nazareth
Para
Swansea
High
Street
Nazareth
Para
London
Mediterranean
Para
Doctor
Para
London
Don
Lord
Peckham
Para
English
Americans
Lucky
Englishman
Captain
Davis
Barry
Rio
Japura
Japura
Japura
Boulter
Lock
Davis
Barry
Davis
Indians
Indians
Government
Got
Johnnies
Davis
Manaos
Para
Davis
Davis
Davis
Davis
New
York
Peru
Say
American
American
Itacoatiara
Para
Amazon
Para
Para
Thames
London
Capella
Para
Para
Ihla
Oncas
Marajo
Marajo
Wales
Amazon
England
Para
Senhor
Amazonas
Captain
Davis
Thorwaldsen
Thorwaldsen
Manaos
News
Thorwaldsen
Thorwaldsens
Swede
Capella
Para
Para
River
Daylight
Para
River
Amazon
Capella
Individual
Eden
Capella
Ephemeral
Alongside
Bates
_via_
Breves
Parana
Buyassa
Amazon
Parana
East
Anglian
Didn
Amazon
Capella
Doctor
Para
River
Amazon
Para
London
Amazon
Amazon
Thames
Gravesend
Amazons
Ino
Bolivia
Rio
Madre
Dios
Conception
Colombia
Rio
Putumayo
Odyssey
South
America
Amazon
Amazon
Santarem
Amazon
Capella
Rotterdam
Xingu
Serra
Almerim
Serra
Maranuaqua
Velha
Pobre
Serras
de
Tapaiunaquara
Paranaquara
Bates
Jurupari
Jurupari
Till
Clovelly
Amazon
Santarem
Sharp
Rio
Tapajos
Santarem
Amazon
Amazon
Tapajos
Ilhas
de
Caapim
Amazon
Obydos
Obydos
Amazon
Obydos
Amazon
Doctor
Donkey
Skipper
Doctor
Donkey
Donkey
Donkey
Cardiff
Doctor
Doctor
Milky
Way
Amazons
Itacoatiara
Serpa
Serpa
Doctor
Purser
Amazon
Cloudland
Doctor
Doctor
Doctor
Titania
Museum
Poplar
Poplar
Providence
Poor
Law
Poor
Law
Creator
Judgment
Day
All
Wise
Poor
Law
Doctor
Brazil
Doctor
England
A
Brazil
Serpa
Amazon
Madeira
Serpa
Amazon
Amazon
Serpa
Abacaxis
Indians
Madeira
Itacoatiara
Madeira-Mamor
Doctor
Brazils
Capella
Serpa
Amazonas
Serpa
Madeira
Serpa
Rio
Madeira
Serpa
Itacoatiara
Day
Dead
Royal
Geographical
Society
Serpa
Serpa
Europeans
Indians
Doctor
Doctor
Sauba
Serpa
Capella
Chief
Madeira
Serpa
Capella
Madeira
Serpa
Serpa
Blue
Night
Madeira
Indian
Doctor
Porto
Velho
Capella
Madeira
Skipper
Brazils
Para
Amazon
Madeira
River
Manaos
Santo
Antonio
Bolivia
Andes
Welsh
Forest
Indians
Jack
Blow
Bill
Genesis
Welsh
Colonel
George
Church
Bolivia
Andes
Pacific
Atlantic
Bolivia
Potosi
Bolivia
Arctic
Bolivia
Andean
Beni
Mamor
Madre
de
Dios
Rio
Madeira
Beni
Madeira
Rio
Madeira
Amazon
Guajara-Merim
San
Antonio
Madeira
Madeira
Amazon
Indians
Colonel
Church
New
Englander
Colonel
November
Indians
Indians
Anyhow
Parentintins
Silver
Spray
San
Antonio
Bank
England
Chancery
Collins
Philadelphia
United
States
Madeira
Garden
Lord
Mercedita
San
Antonio
January
San
Antonio
February
English
Americans
English
Amazon
San
Antonio
Civil
War
Manaos
Madeira-Mamor
Railway
Capella
Porto
Velho
San
Antonio
January
Rio
Madeira
Para
Madeira
Serpa
Madeira
Serpa
San
Antonio
Amazon
Madeira
South
America
Amazon
Bolivia
Guianas
Peru
Rio
Negro
Manaos
Orinoco
Madeira
Madeira
Madeira
Madeira
Capella
Lord
Rosebery
Thrift
Doctor
England
Lord
Rosebery
King
Glory
Carnegie
May
Ancoats
Hanley
Bethnal
Green
Westminster
Algeria
Egypt
New
York
Grand
Lama
Madeira
Amazon
Doctor
Skipper
Skipper
Skipper
English
Swede
Doctor
Rotterdam
Doctor
Doctor
Portuguese
Brazil
Doctor
Englishman
Bernard
Shaw
Rev
Jeremiah
Hardshell
Father
O
Flynn
Me
Lloyd-George
Piccadilly
Tom
Bowling
Professor
Karl
Pearson
English
Para
Serpa
Madonna
Sassoferrato
National
Gallery
Capella
Serpa
Serpa
Madeira
Looks
Golden
Shore
Parisian
Skipper
Indians
Doctor
Eumenides
Thoreau
Chief
Para
River
Para
Spruce
Journal
Amazon
Amazons
Serpa
Para
River
Narrows
Para
Narrows
Xingu
Obydos
Narrows
Madeira
Obydos
Narrows
Madeira
Amazons
Indians
_terra
Itacoatiara
Madeira
Brazil
Hevea
Braziliensis
Madeira
Rozarinho
Madeira
Indians
Indians
Doctor
Purser
Madeira
English
Indians
Madeira
Cayary
Borba
Serpa
Borba
Capella
Borba
Araras
Indians
Ilho
Jacar
Doctor
Brazils
England
Paradise
Purser
Dutch
Dutch
England
Brazils
Capella
Doctor
Say
Chief
Elysium
Chief
Edwin
Chief
Edwin
Chief
Edwin
Edwin
Edwin
Clouds
Capella
Night
Skipper
Let
Capella
Skipper
Amazon
Amazonas
Para
Providence
Brazilians
Para
Manaos
Amazon
Madeira
Para
Green
Hell
Inferno
Verde
Amazonas
Capella
Skipper
Bolivia
Madeira
Andes
Capella
Skipper
Capella
Skipper
Seldom
Rio
Mataua
Madeira
Manicor
Oncas
England
Capella
Darkness
Brazils
Chief
Sandy
Chief
Skipper
Skipper
Skipper
Damn
Skipper
Chief
Doctor
Purser
Thin
Skipper
Doctor
Doctor
Capella
Itacoatiara
Skipper
England
Cidada
Humayta
Madeira
Chief
Porto
Velho
Rio
Jamary
Capella
Talk
Porto
Velho
Capella
Swansea
Porto
Velho
Amazon
Madeira
Madeira
Porto
Velho
Porto
Velho
Capella
San
Antonio
Madeira
Porto
Velho
Had
Capella
Porto
Velho
Capella
Skipper
Say
Said
Dear
Captain
Porto
Velho
Capella
Para
Was
Boys
Jim
Porto
Velho
Jim
Jim
Jim
Jim
Indians
Skipper
Capella
Americans
Englishman
Frenchman
Neil
O
Brien
O
Brien
State
State
O
Brien
England
O
Brien
Colombia
Amazon
O
Brien
O
Brien
O
Brien
O
Brien
Patagonia
Canada
English
Was
Andes
Colombia
Rio
Japura
O
Brien
Amazon
O
Brien
O
Brien
O
Brien
Night
Jews
O
Brien
Jim
Parliament
Defence
League
Englishman
Americans
Adam
Englishman
Bolivia
Indians
Pacific
Andean
Welsh
Englishman
Hav
American
Englishman
London
Wall
Street
Park
Lane
New
York
London
London
Town
London
Town
London
Englishman
Wall
Street
Queen
Elizabeth
Emerson
Leadenhall
Street
Know
Beckwith
Beckwith
Beckwith
Spartan
East
End
Cubitt
Town
Bible
Saturday
Java
India
Congo
Cocoanut
A.B.C
Waterman
Wanderings
Mr.
Utah
R.
Brewster
Hotel
Palace
Utah
R.
Brewster
Blackwall
May
Hotel
Palace
Saturday
Joshua
London
Say
Don
Company
Job
Brewster
Liverpool
Company
Company
Company
Deeper
States
Germany
Frenchman
Englishman
Cheer
Pedro
Leadenhall
Street
Latitude
Pedro
Job
Heaven
Company
Company
Pleasant
Company
Did
Poles
Garden
Eden
Poles
French
Company
Company
Whom
Company
Simply
Job
Poles
Don
Jack
Company
Company
Spoil
Porto
Velho
San
Antonio
Doctor
Madeira
Araras
Indians
Rio
Purus
Amazon
Madeira
Porto
Velho
Porto
Velho
Capella
Porto
Velho
Presence
Col
Porto
Velho
Porto
Velho
Americans
Germans
English
Brazilians
Frenchmen
Portuguese
San
Antonio
June
Madeira
Doctor
Doctor
Madeira
Doctor
Old
Jim
Jim
Jim
Jim
St.
Paul
Jim
Capella
Jim
Jim
Jim
Jim
Jim
Jim
Jim
Jim
Jim
Sunday
Jim
South
America
San
Antonio
Rio
Madeira
San
Antonio
Amazon
San
Antonio
San
Antonio
San
Antonio
Madeira
San
Antonio
San
Antonio
Indians
Mamor
Beni
Madre
de
Dios
European
San
Antonio
smooth
San
Antonio
Brazil
Porto
Velho
Capella
Doctor
Porto
Velho
Porto
Velho
Capella
Madeira
Crusoe
Marion
Hill
Texas
Skipper
Hill
Austrian
Hill
Porto
Velho
Rio
Caracoles
Madeira
Caracoles
San
Antonio
Thenceforward
Camp
Hill
Old
Biddell
Died
Biddell
Biddell
Hill
Jew
New
York
Rio
Caracoles
Rio
Caracoles
Caripuna
Indians
Porto
Velho
Aloft
Madeira
Caracoles
South
America
Caracoles
Caracoles
American
Caracoles
Brazilians
Spaniards
American
Don
Hill
Hill
American
Caracoles
Madeira
Hill
Hill
Hades
Texas
Mayne
Reid
Cruel
Madeira
Rio
Jaci-Parana
Porto
Velho
Jaci
Jaci
Brazil
Hill
Jaci
Jaci
Hill
Hill
Brazil
Rio
Jaci
Hill
Hill
Say
Hill
Caracoles
Porto
Velho
Hill
Hill
Jaci
Texan
Hill
Is
O
Texan
Hill
Don
Solfernio
Hill
Sloan
Round
Ho
London
New
York
Brazil
Great
Jove
Was
Jaci-Parana
Half-way
Nameless
Hairy
Saki
Indians
Caripunas
Hill
Hill
Caripunas
Jaci
Indians
Brazilians
Madeira
Indians
Englishman
Hampshire
Hampshire
God
Old
Jackson
Come
Mummie
Lucy
Lucy
Don
Lucy
Hill
Girau
Falls
Bolivians
Bolivian
Caldeirao
Inferno
Rio
Jaci-Parana
Caldeirao
Jaci
Amazon
Brazilians
Madeira
Hill
Hill
Hill
Hill
Hills
Madeira
Hills
London
November
London
Palms
Madeira
Caripuna
Damp
Madeira
Caldeirao
Bates
Assacu
Between
Caldeirao
Inferno
German
Madeira
Rio
Jaci-Parana
Madeira
Jaci
Thames
Richmond
Jaci
Madeira
Jaci
Jaci
Jaci
Hill
Rio
Caracoles
Porto
Velho
Porto
Velho
Capella
Caracoles
Hill
Hill
Hill
Hill
Kind
Skipper
Capella
Skipper
Skipper
Doctor
Capella
Vice
Tinker
Mack
Brazil
Mack
Mack
Mack
Gur-r-r
Mack
Tinker
Tinker
Tinker
Tinker
Poor
Skipper
Tinker
Doctor
Skipper
Tophet
Capella
Porto
Velho
Jim
Porto
Velho
Porto
Velho
Doctor
Capella
Madeira
Amazon
Cunarder
Skipper
Para
Doctor
Para
Porto
Velho
Capella
Skipper
Skipper
Para
Doctor
Union
Jack
Barbados
Chief
Purser
Doctor
Was
Chief
Great
Bear
Capella
Barbados
Barbados
Chief
Barbados
Tea
Chief
Night
Bridgetown
Chief
Sandy
Chocolate
Girl
St.
Vincent
Liverpool
Wager
Chocolate
Girl
Mignonette
Bahamas
Bahamas
Blue
Anchor
Sydney
Martinique
Cuba
Moffat
Bill
Moffat
Moffat
Moffat
Moffat
Moffat
Moffat
Moffat
Bill
Bill
Bill
Bill
Moffat
Bill
Poplar
Bill
Amazon
Bill
Davy
Jones
Bill
Hullo
Bill
Davy
Come
Glad
Bill
Moffat
Davy
Bill
Davy
Did
Bill
Moffat
Christmas
Ushant
Come
Come
Bill
Davy
Davy
Bill
Bill
Davy
Davy
Johnson
Johnson
Come
Bill
Davy
Come
Bill
Bill
Davy
Come
Davy
Bill
Bill
Davy
Bill
Davy
Bill
Davy
Bill
Davy
Bill
Bill
Bill
Davy
Bill
Bill
Brazils
Bridgetown
Ice
House
English
Hi
Chief
Skipper
Leadenhall
Street
Sandy
New
Orleans
Pensacola
Chief
Hamburg
Atlantic
Valley
Shadows
Brazil
Swansea
Barbados
Bridgetown
Polaris
Skipper
Panama
Mr.
Brown
Chief
Chief
Tampa
Florida
Caribbees
St.
Lucia
St.
Vincent
St.
Lucia
Skipper
West
Main
Capella
Port
Antonio
Blue
Mountains
Cuba
Capella
Cuban
Isle
Pines
Gulf
Mexico
Capella
Floridan
Mullet
Island
Capella
Florida
Water
Tampa
Gehenna
Tower
Babel
Capella
Tampa
Skipper
Chief
New
York
England
Consul
Capella
Capella
Tampa
Tampa
Skipper
Chief
Purser
Tampa
New
York
New
York
Noo
Yark
Step
United
States
New
York
New
York
Liberty
Plymouth
England
Boy
Miss
Muffet
Curly
Nob
Plymouth
Gone
Night
England
Bishop
England
Plymouth
English
Devon
Paddington
London
Boy
